,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
15652,1200,Selangor - Klang,Condominium,3.0,0.0,2.0,1170,Not Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Minimart, Playground, Jogging Track, Security, 11",None,Selangor
15653,1850,Selangor - Batu Caves,Condominium,3.0,0.0,2.0,800,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Washing Machine",Selangor
15654,2800,Selangor - Damansara Perdana,Condominium,3.0,2.0,2.0,1052,Fully Furnished,"Minimart, Playground, Squash Court, Parking, Tennis Court, Lift, Sauna, Security, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
15655,549,Selangor - Kajang,Apartment,3.0,0.0,2.0,854,Not Furnished,"Parking, Swimming Pool, Security",None,Selangor
15656,1000,Selangor - Ampang,Condominium,1.0,1.0,1.0,450,Fully Furnished,None,"Air-Cond, Cooking Allowed, Washing Machine",Selangor
15657,1500,Selangor - Cyberjaya,Condominium,3.0,0.0,2.0,850,Partially Furnished,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Jogging Track","Internet, Cooking Allowed, Air-Cond",Selangor
15658,1200,Selangor - Kajang,Service Residence,2.0,1.0,1.0,690,Fully Furnished,"Security, Jogging Track, Tennis Court, Minimart, Playground, Parking, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15659,300,Selangor - Damansara Damai,Flat,4.0,0.0,2.0,650,Not Furnished,None,Internet,Selangor
15660,1300,Selangor - Cyberjaya,Condominium,3.0,2.0,2.0,935,Partially Furnished,"Jogging Track, Security, Swimming Pool, Gymnasium, Parking, Minimart, Playground, Lift","Air-Cond, Cooking Allowed",Selangor
15661,1100,Selangor - Puchong,Apartment,3.0,0.0,2.0,950,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",Selangor
15662,900,Selangor - Shah Alam,Apartment,3.0,1.0,2.0,750,Partially Furnished,"Parking, Security","Air-Cond, Cooking Allowed",Selangor
15663,1800,Selangor - Shah Alam,Condominium,3.0,2.0,2.0,915,Fully Furnished,"Playground, Parking, Security, Tennis Court, Swimming Pool, Squash Court, Jogging Track, Minimart, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15664,1050,Selangor - Subang Jaya,Apartment,1.0,1.0,1.0,500,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15665,1700,Selangor - Cyberjaya,Condominium,3.0,2.0,2.0,978,Fully Furnished,"Lift, Security, Parking, Swimming Pool, Playground, Sauna, Gymnasium, Barbeque area, Minimart, Club house, Multipurpose hall, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
